PacketCounter,SampleTimeFine,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z,Roll,Pitch,Yaw
07108,887628,9.202812,-0.621398,2.447575,-0.029933,-0.151371,-0.117028,-0.104339,-0.015119,-0.343554,29.235511,-87.874639,-27.510730
07109,887728,9.296293,-0.634558,2.465050,-0.029780,-0.144574,-0.115247,-0.102745,-0.016372,-0.349128,31.909721,-87.911517,-30.205009
07110,887828,9.408977,-0.608514,2.483248,-0.035839,-0.129857,-0.110132,-0.104286,-0.016469,-0.346629,34.469378,-87.938356,-32.788118
07111,887928,9.540395,-0.587778,2.539286,-0.047994,-0.119429,-0.102677,-0.101213,-0.016299,-0.351126,36.886684,-87.958723,-35.235754
07112,888028,9.785928,-0.572057,2.642693,-0.063851,-0.098909,-0.096796,-0.101285,-0.014499,-0.347026,39.054615,-87.968350,-37.442962
07113,888128,10.105546,-0.591746,2.857508,-0.072282,-0.082545,-0.094731,-0.100220,-0.017810,-0.351202,41.034701,-87.968692,-39.467071
07114,888228,10.505830,-0.609461,2.987913,-0.073400,-0.055226,-0.095842,-0.098246,-0.017889,-0.350202,42.725045,-87.954633,-41.201944
07115,888328,10.818923,-0.665896,3.091187,-0.061443,-0.033094,-0.103654,-0.097271,-0.019448,-0.349278,44.239204,-87.926550,-42.753728
07116,888428,11.077100,-0.736003,3.160257,-0.052990,-0.010443,-0.111779,-0.093325,-0.025563,-0.348083,45.551204,-87.884601,-44.098456
07117,888528,11.257985,-0.801828,3.229235,-0.046095,0.022536,-0.117690,-0.090416,-0.029290,-0.344261,46.511437,-87.826112,-45.087317
07118,888628,11.392033,-0.794654,3.236709,-0.048422,0.068447,-0.121968,-0.084495,-0.034986,-0.342040,46.967364,-87.747341,-45.572932
07119,888728,11.412668,-0.712741,3.167872,-0.059640,0.106912,-0.129216,-0.079593,-0.042707,-0.338921,47.057035,-87.650400,-45.698509
07120,888828,11.434509,-0.593769,3.201179,-0.076256,0.125300,-0.137977,-0.069235,-0.048594,-0.334198,47.027295,-87.542584,-45.714153
07121,888928,11.505459,-0.444478,3.313910,-0.093948,0.134075,-0.150812,-0.063870,-0.055423,-0.329029,47.016896,-87.425938,-45.759337
07122,889028,11.890754,-0.251169,3.302515,-0.118886,0.167169,-0.174880,-0.054530,-0.063336,-0.323410,46.895699,-87.286251,-45.707935
07123,889128,12.301605,-0.179555,3.111787,-0.136990,0.218540,-0.202139,-0.043713,-0.075282,-0.317493,46.558274,-87.114986,-45.450446
07124,889228,12.544993,-0.162315,2.628698,-0.141849,0.242997,-0.212411,-0.035428,-0.084320,-0.308926,46.137832,-86.929697,-45.112605
07125,889328,12.473490,-0.287443,2.177568,-0.111312,0.231527,-0.211706,-0.028213,-0.098493,-0.297115,45.855071,-86.749154,-44.895118
07126,889428,12.549549,-0.444307,1.738665,-0.044420,0.234837,-0.214381,-0.020534,-0.111275,-0.283228,45.630816,-86.566139,-44.697874
07127,889528,12.808149,-0.565607,1.208556,0.052342,0.250900,-0.231770,-0.017935,-0.127208,-0.264496,45.488402,-86.369542,-44.527127
07128,889628,12.630313,-0.468243,0.441329,0.147559,0.226095,-0.243369,-0.021351,-0.148600,-0.244547,45.636512,-86.178168,-44.592900
07129,889728,11.948584,-0.235113,-0.632790,0.195454,0.134542,-0.237778,-0.026262,-0.165009,-0.223844,46.310090,-86.025553,-45.157948
07130,889828,11.197103,0.146598,-1.352360,0.198246,0.006471,-0.223993,-0.035578,-0.179162,-0.207040,47.616517,-85.928175,-46.355947
07131,889928,10.550436,0.731502,-1.532892,0.172908,-0.104449,-0.209735,-0.048335,-0.188679,-0.192007,49.438898,-85.876772,-48.085895
07132,890028,9.992439,1.416064,-1.313204,0.120114,-0.204450,-0.202979,-0.060036,-0.200535,-0.180599,51.769549,-85.860293,-50.355787
07133,890128,9.615629,1.989851,-0.821226,0.024893,-0.274846,-0.197637,-0.066184,-0.207824,-0.172460,54.450972,-85.863339,-53.031984
07134,890228,9.486688,2.406028,-0.251235,-0.093774,-0.276918,-0.179967,-0.068772,-0.210517,-0.167590,57.000744,-85.866588,-55.644201
07135,890328,9.280395,2.622692,-0.244507,-0.216844,-0.227404,-0.149132,-0.072256,-0.208967,-0.167515,59.017526,-85.862263,-57.792579
07136,890428,8.989931,2.720601,-0.646905,-0.322674,-0.181231,-0.122850,-0.067740,-0.205976,-0.168861,60.547439,-85.852824,-59.513463
07137,890528,8.692616,2.619027,-1.087566,-0.404663,-0.141074,-0.102806,-0.062703,-0.200953,-0.171104,61.668989,-85.839438,-60.871883
