time,gx,gy,gz,ax,ay,az,Mag_X,Mag_Y,Mag_Z,p
895528,-0.178553,0.424624,0.171485,1.291085612,0.080832959,0.298557347,0.056216,0.033948,-0.398493,1016.549011
895628,-0.104282,0.570097,0.154087,1.391797959,0.016885204,0.326953367,0.063655,0.036225,-0.396364,1016.549011
895728,-0.043413,0.74349,0.152207,1.479992245,-0.042027245,0.311543776,0.071423,0.037063,-0.38529,1016.549011
895828,-0.00266,0.885969,0.168428,1.516199286,-0.066664592,0.250905306,0.077643,0.033818,-0.37192,1016.549011
895928,0.017725,0.95587,0.175382,1.519494898,-0.041682347,0.168814694,0.080738,0.027295,-0.351707,1016.549011
896028,0.000281,0.973567,0.163743,1.521532347,0.024480306,0.100714184,0.079192,0.014977,-0.323777,1016.549011
896128,-0.04483,0.924438,0.130866,1.476932755,0.091237245,0.038964796,0.068648,0.006193,-0.293673,1016.549011
896228,-0.076734,0.782749,0.074854,1.389908163,0.129934082,-0.057452347,0.052191,-0.002826,-0.267095,1016.549011
896328,-0.103803,0.558362,0.000521,1.273235918,0.130199796,-0.174088776,0.02641,-0.011334,-0.248017,1016.549011
896428,-0.12386,0.297294,-0.071101,1.150281224,0.073056939,-0.227183265,-0.000348,-0.013823,-0.229134,1016.549011
896528,-0.111032,0.045974,-0.100892,1.023136531,0.005871122,-0.21399,-0.026934,-0.013886,-0.219146,1016.549011
896628,-0.071362,-0.249649,-0.10354,0.910746633,-0.044915816,-0.189244184,-0.047465,-0.011858,-0.213053,1016.549011
896728,-0.006935,-0.542512,-0.116027,0.858910306,-0.083569898,-0.136506429,-0.0674,-0.006608,-0.211806,1016.549011
896828,0.124369,-0.721044,-0.136522,0.863580408,-0.138693469,-0.03568602,-0.079778,-0.000761,-0.215029,1016.549011
896928,0.321998,-0.70546,-0.159656,0.872339388,-0.200205816,0.028565306,-0.089693,0.004974,-0.216752,1016.549011
897028,0.51939,-0.523998,-0.184738,0.868249388,-0.263552041,0.046746327,-0.092205,0.008927,-0.21505,1016.549011
897128,0.655969,-0.246082,-0.184431,0.888620408,-0.290346327,0.026269694,-0.093158,0.012527,-0.216872,1016.549011
897228,0.705983,0.027137,-0.163554,0.930677143,-0.25064602,-0.004346224,-0.094629,0.01509,-0.217745,1016.549011
897328,0.694012,0.158262,-0.12883,0.949351837,-0.175896224,-0.043280714,-0.091075,0.0162,-0.221191,1016.549011
897428,0.658065,0.129994,-0.082817,0.969282347,-0.095715204,-0.06011051,-0.090109,0.015115,-0.219742,1016.549011
897528,0.612436,0.048262,-0.030551,1.007681837,-0.011032245,-0.036531837,-0.093495,0.019397,-0.224538,1016.549011
897628,0.538761,0.027055,-0.000249,1.040556327,0.075885714,-0.003489082,-0.096966,0.018006,-0.225615,1016.549011
897728,0.437199,0.060559,-0.007447,1.027731224,0.157468163,0.000834898,-0.104949,0.021074,-0.224465,1016.549011
897828,0.307709,0.083386,-0.040061,1.000415714,0.201621633,-0.029137551,-0.110904,0.023708,-0.22534,1016.549011
897928,0.169273,0.049789,-0.082543,0.970082143,0.19529551,-0.050186122,-0.11979,0.027032,-0.229189,1016.549011
898028,0.050914,-0.028745,-0.110298,0.939012755,0.161624694,-0.041721633,-0.128672,0.032847,-0.23291,1016.549011
898128,-0.033477,-0.121723,-0.119847,0.911988571,0.118201837,-0.007527347,-0.140051,0.040173,-0.236057,1016.549011
898228,-0.076263,-0.20719,-0.116865,0.884690408,0.067674592,0.027395816,-0.145457,0.045411,-0.239303,1016.549011
898328,-0.087123,-0.259934,-0.111353,0.851815816,0.02948102,0.057927653,-0.155313,0.047827,-0.244703,1016.549011
898428,-0.067061,-0.290725,-0.11212,0.816071122,-0.002250204,0.0716,-0.162237,0.055009,-0.246348,1016.549011
898528,-0.025386,-0.309868,-0.121243,0.779297959,-0.021946429,0.072152857,-0.168613,0.05884,-0.251171,1016.549011
898628,0.010205,-0.301061,-0.136235,0.758204898,-0.040125408,0.071674592,-0.172433,0.068257,-0.258711,1016.549011
898728,0.048115,-0.260379,-0.146981,0.754070102,-0.057669898,0.075121939,-0.173277,0.070651,-0.266607,1016.549011
898828,0.069986,-0.188259,-0.148582,0.750377551,-0.066958265,0.067351122,-0.17162,0.078486,-0.274222,1016.549011
898928,0.072625,-0.108796,-0.140649,0.74842,-0.064390204,0.060918571,-0.171508,0.084231,-0.279441,1016.549011
899028,0.061284,-0.057015,-0.126823,0.751617449,-0.056023163,0.055394082,-0.167828,0.0941,-0.288453,1016.549011
899128,0.058921,-0.038847,-0.108265,0.766026735,-0.045766633,0.062449082,-0.165569,0.103189,-0.301516,1016.549011
899228,0.074826,-0.046017,-0.091752,0.794064898,-0.039711327,0.074682347,-0.164455,0.111907,-0.306581,1016.549011
899328,0.084089,-0.064977,-0.074834,0.829986939,-0.03924898,0.085978469,-0.162773,0.11832,-0.315772,1016.549011
899428,0.07843,-0.101746,-0.065289,0.861070408,-0.041351633,0.086236735,-0.159579,0.129715,-0.325208,1016.549011
899528,0.057278,-0.163372,-0.060321,0.88440051,-0.056054184,0.084671939,-0.158929,0.136545,-0.332375,1016.549011
899628,0.024865,-0.2211,-0.049069,0.896525816,-0.073643571,0.082749286,-0.164203,0.143117,-0.342568,1016.549011
899728,-0.017707,-0.256593,-0.034346,0.894098673,-0.091932959,0.085867653,-0.163084,0.149867,-0.348235,1016.549011
899828,-0.06181,-0.275472,-0.01231,0.876917347,-0.095173878,0.092803776,-0.167918,0.154293,-0.35553,1016.549011
899928,-0.091116,-0.283957,0.007913,0.851597857,-0.085318265,0.10743949,-0.166781,0.160593,-0.362223,1016.549011
900028,-0.096539,-0.276704,0.02162,0.844729898,-0.071717041,0.13495398,-0.168115,0.166981,-0.369915,1016.549011
900128,-0.08765,-0.250531,0.025253,0.855220204,-0.058187653,0.165314694,-0.166011,0.172695,-0.375133,1016.549011
900228,-0.045294,-0.201756,0.015933,0.884022449,-0.052092347,0.184202449,-0.164866,0.172566,-0.383155,1016.549011
900328,0.010217,-0.130542,-0.009308,0.917709388,-0.054581531,0.185422653,-0.159174,0.177493,-0.39392,1016.549011
900428,0.077105,-0.054415,-0.036758,0.950430408,-0.071285918,0.165121939,-0.155568,0.182211,-0.399688,1016.549011
900528,0.122802,0.001567,-0.059525,0.977343265,-0.090818061,0.143369592,-0.152449,0.182501,-0.406684,1016.549011
900628,0.154597,0.029568,-0.081093,0.998216633,-0.11306398,0.130295,-0.151845,0.184751,-0.412081,1016.549011
900728,0.179468,0.042368,-0.094131,1.018871633,-0.130620612,0.126605816,-0.146225,0.185025,-0.419576,1016.549011
900828,0.199951,0.064456,-0.094977,1.040574184,-0.130650816,0.121873163,-0.144655,0.18619,-0.423523,1016.549011
900928,0.221841,0.083587,-0.0948,1.057258776,-0.112077449,0.104519592,-0.141572,0.181924,-0.429248,1016.549011
901028,0.259103,0.072198,-0.098218,1.060938673,-0.095845714,0.093256837,-0.139501,0.184078,-0.433145,1016.549011
